id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,47,14,5,3,50,23,27,22,34,2,2
2,Bournemouth,26,7,5,10,32,39,-7,22,35,2,12
3,Burnley,26,8,2,12,24,33,-9,22,41,0,13
4,Chelsea,55,18,1,3,47,15,32,22,45,0,1
5,Crystal Palace,16,4,4,14,30,41,-11,22,48,0,18
6,Everton,36,10,6,6,33,23,10,22,40,1,7
7,Hull City,16,4,4,14,20,47,-27,22,28,1,19
8,Leicester,21,5,6,11,24,37,-13,22,45,1,15
9,Liverpool,45,13,6,3,51,27,24,22,34,0,4
10,Man City,43,13,4,5,43,28,15,22,44,4,5
11,Man Utd,41,11,8,3,33,21,12,22,47,1,6
12,Middlesbrough,20,4,8,10,18,25,-7,22,49,0,16
13,Southampton,27,7,6,9,22,26,-4,22,34,2,11
14,Stoke City,28,7,7,8,28,34,-6,22,42,1,9
15,Sunderland,15,4,3,15,20,42,-22,22,47,3,20
16,Swansea,18,5,3,14,26,51,-25,22,32,0,17
17,Spurs,46,13,7,2,45,16,29,22,42,0,3
18,Watford,24,6,6,10,25,38,-13,22,51,3,14
19,West Brom,32,9,5,8,30,28,2,22,49,1,8
20,West Ham,28,8,4,10,29,36,-7,22,52,3,10
