name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,team,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position,season,next_fixture_team,next_fixture_position,next_fixture_points,next_fixture_wins,next_fixture_draws,next_fixture_losses,next_fixture_goals_for,next_fixture_goals_against,next_fixture_goals_diff,next_fixture_played,next_fixture_yc,next_fixture_rc,name_first,name_last,element_type
Aaron_Cresswell,1,55,0,0,0,19,0,5,43,22.5,0,0,443,0,0,340,1,1,0,10.1,19492,41.0,2,2018-04-16T19:00:00Z,16 Apr 20:00,0,0,90,0,0,15,0,0,0,0,4,0,34,0,115440,1,1,0,1,1,37.0,4,-19642,1129,20771,50,True,0,1,20.0,35,8,11,14,41,59,-18,33,66,2,14,2017,1,6,57,17,6,11,66,46,20,34,52,1,Aaron,Cresswell,2
Aaron_Lennon,0,17,0,0,0,1,0,3,8,0.5,1,0,153,0,0,331,3,1,0,2.1,19111,2.8,0,2018-04-14T14:00:00Z,14 Apr 15:00,0,0,90,0,0,9,0,0,0,0,3,0,34,0,21252,2,0,0,1,2,18.0,1,5147,6101,954,54,True,0,1,4.0,52,14,10,10,34,31,3,34,63,0,7,2017,15,19,29,6,11,18,32,65,-33,35,53,1,Aaron,Lennon,3
Aaron_Lennon,0,23,0,0,0,5,0,1,15,3.2,1,0,153,0,0,302,0,2,0,0.9,19110,5.6,0,2018-04-19T18:45:00Z,19 Apr 19:45,0,0,86,0,0,5,0,0,0,0,6,0,34,0,21252,4,0,0,2,1,0.0,2,5147,6101,954,54,True,0,0,4.0,52,14,10,10,34,31,3,34,63,0,7,2017,15,19,29,6,11,18,32,65,-33,35,53,1,Aaron,Lennon,3
Aaron_Mooy,0,47,0,0,0,8,1,3,36,15.0,0,0,172,0,0,333,1,0,0,3.6,19130,13.2,1,2018-04-14T14:00:00Z,14 Apr 15:00,0,0,90,0,0,18,0,0,0,0,5,0,34,0,286156,2,0,0,0,1,8.0,3,-8825,2885,11710,52,True,0,0,8.0,35,9,8,17,27,54,-27,34,53,3,15,2017,0,0,0,0,0,0,0,0,0,0,0,0,Aaron,Mooy,3
Aaron_Ramsdale,0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,334,0,0,0,0.0,19629,0.0,0,2018-04-14T16:30:00Z,14 Apr 17:30,0,0,0,0,0,10,0,0,0,0,0,0,34,0,7568,0,0,0,0,3,0.0,0,-121,5,126,40,False,0,0,2.0,38,9,11,15,41,58,-17,35,53,1,11,2017,0,0,0,0,0,0,0,0,0,0,0,0,Aaron,Ramsdale,1
Aaron_Ramsdale,0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,342,0,0,0,0.0,19630,0.0,0,2018-04-18T18:45:00Z,18 Apr 19:45,0,0,0,0,0,12,0,0,0,0,0,0,34,0,7568,0,0,0,2,0,0.0,0,-121,5,126,40,True,0,0,2.0,38,9,11,15,41,58,-17,35,53,1,11,2017,0,0,0,0,0,0,0,0,0,0,0,0,Aaron,Ramsdale,1
Aaron_Ramsey,0,0,0,0,0,0,0,0,0,0.0,0,0,18,0,0,336,0,0,0,0.0,18892,0.0,0,2018-04-15T12:30:00Z,15 Apr 13:30,0,0,0,0,0,13,0,0,0,0,0,0,34,0,214591,0,0,0,1,2,0.0,0,-60549,7112,67661,69,False,0,0,1.0,54,16,6,11,62,45,17,33,49,1,6,2017,20,15,35,8,11,15,42,63,-21,34,68,2,Aaron,Ramsey,3
Aaron_Wan-Bissaka,0,0,0,0,0,0,0,0,0,0.0,0,0,579,0,0,332,0,0,0,0.0,19668,0.0,0,2018-04-14T14:00:00Z,14 Apr 15:00,0,0,0,0,0,3,0,0,0,0,0,0,34,0,789,0,0,0,2,3,0.0,0,51,132,81,45,True,0,0,6.0,34,8,10,16,36,54,-18,34,62,0,16,2017,18,12,38,10,8,17,42,60,-18,35,61,4,Aaron,Wan-Bissaka,3
Abdelhamid_Sabiri,0,0,0,0,0,0,0,0,0,0.0,0,0,522,0,0,333,0,0,0,0.0,19592,0.0,0,2018-04-14T14:00:00Z,14 Apr 15:00,0,0,0,0,0,18,0,0,0,0,0,0,34,0,484,0,0,0,0,1,0.0,0,2,8,6,47,True,0,0,8.0,35,9,8,17,27,54,-27,34,53,3,15,2017,0,0,0,0,0,0,0,0,0,0,0,0,Abdelhamid,Sabiri,3
Abdoulaye_Doucouré,0,47,0,0,0,12,0,3,40,17.8,0,0,414,0,0,333,0,1,0,9.1,19463,30.4,1,2018-04-14T14:00:00Z,14 Apr 15:00,0,0,90,0,1,8,0,0,0,0,6,0,34,0,748676,3,0,0,0,1,43.0,2,-63198,7085,70283,54,False,0,0,18.0,37,10,7,17,42,60,-18,34,58,4,12,2017,6,14,35,8,11,16,36,54,-18,35,67,0,Abdoulaye,Doucouré,3
Adam_Federici,0,0,0,0,0,0,0,0,0,0.0,0,0,31,0,0,334,0,0,0,0.0,18908,0.0,0,2018-04-14T16:30:00Z,14 Apr 17:30,0,0,0,0,0,10,0,0,0,0,0,0,34,0,132738,0,0,0,0,3,0.0,0,-721,244,965,40,False,0,0,2.0,38,9,11,15,41,58,-17,35,53,1,11,2017,0,0,0,0,0,0,0,0,0,0,0,0,Adam,Federici,1
Adam_Federici,0,0,0,0,0,0,0,0,0,0.0,0,0,31,0,0,342,0,0,0,0.0,18909,0.0,0,2018-04-18T18:45:00Z,18 Apr 19:45,0,0,0,0,0,12,0,0,0,0,0,0,34,0,132738,0,0,0,2,0,0.0,0,-721,244,965,40,True,0,0,2.0,38,9,11,15,41,58,-17,35,53,1,11,2017,0,0,0,0,0,0,0,0,0,0,0,0,Adam,Federici,1
Adam_Lallana,0,0,0,0,0,0,0,0,0,0.0,0,0,228,0,0,334,0,0,0,0.0,19209,0.0,0,2018-04-14T16:30:00Z,14 Apr 17:30,0,0,0,0,0,2,0,0,0,0,0,0,34,0,20181,0,0,0,0,3,0.0,0,-139,8,147,73,True,0,0,10.0,70,20,10,4,78,35,43,34,40,1,3,2017,19,20,25,4,13,18,29,54,-25,35,63,1,Adam,Lallana,3
Adam_Legzdins,0,0,0,0,0,0,0,0,0,0.0,0,0,545,0,0,331,0,0,0,0.0,19625,0.0,0,2018-04-14T14:00:00Z,14 Apr 15:00,0,0,0,0,0,9,0,0,0,0,0,0,34,0,6259,0,0,0,1,2,0.0,0,-34,62,96,40,True,0,0,4.0,52,14,10,10,34,31,3,34,63,0,7,2017,15,19,29,6,11,18,32,65,-33,35,53,1,Adam,Legzdins,1
Adam_Legzdins,0,0,0,0,0,0,0,0,0,0.0,0,0,545,0,0,302,0,0,0,0.0,19624,0.0,0,2018-04-19T18:45:00Z,19 Apr 19:45,0,0,0,0,0,5,0,0,0,0,0,0,34,0,6259,0,0,0,2,1,0.0,0,-34,62,96,40,True,0,0,4.0,52,14,10,10,34,31,3,34,63,0,7,2017,15,19,29,6,11,18,32,65,-33,35,53,1,Adam,Legzdins,1
