fixture,round,team_home,uniqueid_home,team_away,uniqueid_away,team_home_gs,team_home_gc,team_away_gs,team_away_gc,team_home_win,team_home_draw,team_home_loss,team_away_win,team_away_draw,team_away_loss
5,1,12,9,19,20,4,0,0,4,1,0,0,0,0,1
8,1,16,13,4,3,0,0,0,0,0,1,0,0,1,0
4,1,10,22,6,4,0,3,3,0,0,0,1,1,0,0
1,1,1,1,13,10,0,2,2,0,0,0,1,1,0,0
3,1,9,25,7,5,0,2,2,0,0,0,1,1,0,0
9,1,18,18,3,21,2,0,0,2,1,0,0,0,0,1
10,1,20,26,8,6,2,2,2,2,0,1,0,0,1,0
2,1,2,2,5,24,2,0,0,2,1,0,0,0,0,1
6,1,14,11,11,8,2,1,1,2,1,0,0,0,0,1
7,1,15,23,17,17,1,2,2,1,0,0,1,1,0,0
20,2,19,20,2,2,1,2,2,1,0,0,1,1,0,0
12,2,4,3,18,18,1,3,3,1,0,0,1,1,0,0
18,2,13,10,10,22,6,1,1,6,1,0,0,0,0,1
14,2,6,4,1,1,3,2,2,3,1,0,0,0,0,1
15,2,7,5,12,9,0,2,2,0,0,0,1,1,0,0
19,2,17,17,9,25,3,1,1,3,1,0,0,0,0,1
17,2,11,8,20,26,2,0,0,2,1,0,0,0,0,1
16,2,8,6,16,13,2,1,1,2,1,0,0,0,0,1
11,2,3,21,14,11,3,2,2,3,1,0,0,0,0,1
13,2,5,24,15,23,0,0,0,0,0,1,0,0,1,0
21,3,1,1,19,20,3,1,1,3,1,0,0,0,0,1
23,3,9,25,4,3,4,2,2,4,1,0,0,0,0,1
24,3,10,22,5,24,0,0,0,0,0,1,0,0,1,0
29,3,18,18,7,5,2,1,1,2,1,0,0,0,0,1
30,3,20,26,13,10,1,1,1,1,0,1,0,0,1,0
25,3,12,9,3,21,1,0,0,1,1,0,0,0,0,1
22,3,2,2,8,6,2,2,2,2,0,1,0,0,1,0
28,3,16,13,11,8,1,2,2,1,0,0,1,1,0,0
26,3,14,11,17,17,0,3,3,0,0,0,1,1,0,0
27,3,15,23,6,4,1,2,2,1,0,0,1,1,0,0
40,4,19,20,20,26,0,1,1,0,0,0,1,1,0,0
32,4,4,3,14,11,0,2,2,0,0,0,1,1,0,0
36,4,8,6,10,22,1,1,1,1,0,1,0,0,1,0
33,4,5,24,1,1,2,3,3,2,0,0,1,1,0,0
35,4,7,5,16,13,0,2,2,0,0,0,1,1,0,0
39,4,18,18,17,17,2,1,1,2,1,0,0,0,0,1
31,4,3,21,9,25,2,2,2,2,0,1,0,0,1,0
37,4,11,8,12,9,1,2,2,1,0,0,1,1,0,0
34,4,6,4,2,2,2,0,0,2,1,0,0,0,0,1
38,4,13,10,15,23,2,1,1,2,1,0,0,0,0,1
43,5,8,6,19,20,1,3,3,1,0,0,1,1,0,0
50,5,20,26,4,3,1,0,0,1,1,0,0,0,0,1
44,5,10,22,7,5,0,1,1,0,0,0,1,1,0,0
46,5,15,23,1,1,1,2,2,1,0,0,1,1,0,0
49,5,18,18,14,11,1,2,2,1,0,0,1,1,0,0
45,5,13,10,9,25,3,0,0,3,1,0,0,0,0,1
48,5,17,17,12,9,1,2,2,1,0,0,1,1,0,0
41,5,2,2,11,8,4,2,2,4,1,0,0,0,0,1
47,5,16,13,3,21,2,2,2,2,0,1,0,0,1,0
42,5,6,4,5,24,4,1,1,4,1,0,0,0,0,1
60,6,19,20,6,4,0,0,0,0,0,1,0,0,1,0
53,6,4,3,2,2,4,0,0,4,1,0,0,0,0,1
57,6,11,8,10,22,3,1,1,3,1,0,0,0,0,1
51,6,1,1,8,6,2,0,0,2,1,0,0,0,0,1
55,6,7,5,15,23,0,0,0,0,0,1,0,0,1,0
56,6,9,25,18,18,1,1,1,1,0,1,0,0,1,0
59,6,14,11,20,26,1,1,1,1,0,1,0,0,1,0
