team_name,team_id,season,team_unique_id,round,position,team_id_against,team_unique_id_against,against_position,win,draw,loss,team_score,team_concede,total_wins,total_draws,total_losses,was_home,against_team_name
Arsenal,1,2018,1,18,5,4,3,18,1,0,0,3,1,11,4,3,True,Burnley
Burnley,4,2018,3,18,18,1,1,5,0,0,1,1,3,3,3,12,False,Arsenal
Bournemouth,2,2018,2,18,8,3,21,13,1,0,0,2,0,8,2,8,True,Brighton
Brighton,3,2018,21,18,13,2,2,8,0,0,1,0,2,6,3,9,False,Bournemouth
Cardiff City,5,2018,24,18,17,14,11,6,0,0,1,1,5,4,2,12,True,Man Utd
Man Utd,14,2018,11,18,6,5,24,17,1,0,0,5,1,8,5,5,False,Cardiff City
Chelsea,6,2018,4,18,4,11,8,9,0,0,1,0,1,11,4,3,True,Leicester
Leicester,11,2018,8,18,9,6,4,4,1,0,0,1,0,7,4,7,False,Chelsea
Everton,8,2018,6,18,11,17,17,3,0,0,1,2,6,6,6,6,True,Spurs
Spurs,17,2018,17,18,3,8,6,11,1,0,0,6,2,14,0,4,False,Everton
Huddersfield,10,2018,22,18,19,16,13,16,0,0,1,1,3,2,4,12,True,Southampton
Southampton,16,2018,13,18,16,10,22,19,1,0,0,3,1,3,6,9,False,Huddersfield
Man City,13,2018,10,18,2,7,5,14,0,0,1,2,3,14,2,2,True,Crystal Palace
Crystal Palace,7,2018,5,18,14,13,10,2,1,0,0,3,2,5,3,10,False,Man City
Newcastle,15,2018,23,18,15,9,25,20,0,1,0,0,0,4,5,9,True,Fulham
Fulham,9,2018,25,18,20,15,23,15,0,1,0,0,0,2,4,12,False,Newcastle
West Ham,19,2018,20,18,12,18,18,7,0,0,1,0,2,7,3,8,True,Watford
Watford,18,2018,18,18,7,19,20,12,1,0,0,2,0,8,3,7,False,West Ham
Wolves,20,2018,26,18,10,12,9,1,0,0,1,0,2,7,4,7,True,Liverpool
Liverpool,12,2018,9,18,1,20,26,10,1,0,0,2,0,15,3,0,False,Wolves
