name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,team,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position,season,next_fixture_team,next_fixture_position,next_fixture_points,next_fixture_wins,next_fixture_draws,next_fixture_losses,next_fixture_goals_for,next_fixture_goals_against,next_fixture_goals_diff,next_fixture_played,next_fixture_yc,next_fixture_rc,name_first,name_last,element_type
Aaron_Connolly_534,0,0,1,0,0.0,534,232,1,0,0.0,0.0,2020-01-21T19:30:00Z,30,3,0,0,0,0,24,0,92573,1,3,0.0,1,-3091,3610,6701,44,False,0,4.0,25,6,7,11,27,34,-7,24,35,2,15,2019,19,18,24,6,6,13,30,43,-13,25,46,1,Aaron,Connolly,4
Aaron_Cresswell_376,0,0,9,0,19.5,376,234,4,0,3.7,13.2,2020-01-22T19:30:00Z,90,9,0,0,0,0,24,0,121950,1,4,4.0,0,13909,20400,6491,47,False,0,19.0,23,6,5,13,27,40,-13,24,45,1,17,2019,4,15,26,6,8,11,30,37,-7,25,36,2,Aaron,Cresswell,2
Aaron_Cresswell_376,0,0,11,0,4.3,376,180,2,0,1.7,12.6,2020-01-29T19:45:00Z,90,10,0,0,0,0,24,0,121950,2,0,0.0,1,13909,20400,6491,47,True,0,19.0,23,6,5,13,27,40,-13,24,45,1,17,2019,4,15,26,6,8,11,30,37,-7,25,36,2,Aaron,Cresswell,2
Aaron_Lennon_430,0,0,0,0,0.0,430,235,0,0,0.0,0.0,2020-01-22T20:15:00Z,0,12,0,0,0,0,24,0,6205,2,0,0.0,0,75,190,115,46,False,0,5.0,30,9,3,12,28,38,-10,24,43,0,13,2019,1,10,31,6,13,6,32,34,-2,25,61,3,Aaron,Lennon,3
Aaron_Mooy_516,0,3,36,0,68.8,516,232,3,1,15.2,55.0,2020-01-21T19:30:00Z,90,3,0,0,0,0,24,0,43391,1,3,28.0,10,-832,3907,4739,48,False,0,4.0,25,6,7,11,27,34,-7,24,35,2,15,2019,19,18,24,6,6,13,30,43,-13,25,46,1,Aaron,Mooy,3
Aaron_Ramsdale_494,0,0,24,0,0.0,494,232,1,0,4.5,45.2,2020-01-21T19:30:00Z,90,4,0,0,0,0,24,7,320219,1,3,0.0,4,-20114,5615,25729,47,True,0,3.0,23,6,5,13,23,37,-14,24,47,2,18,2019,2,17,25,7,4,14,32,47,-15,25,46,1,Aaron,Ramsdale,1
Aaron_Wan-Bissaka_122,0,0,13,0,53.2,122,235,2,0,8.7,29.6,2020-01-22T20:15:00Z,90,5,0,0,0,0,24,0,1017565,2,0,4.0,1,-8481,11361,19842,53,True,0,12.0,34,9,7,8,36,29,7,24,44,0,5,2019,20,8,35,8,11,6,35,32,3,25,36,2,Aaron,Wan-Bissaka,2
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0,0,0,0,0.0,596,235,0,0,0.0,0.0,2020-01-22T20:15:00Z,0,12,0,0,0,0,24,0,486,2,0,0.0,0,84,131,47,40,False,0,5.0,30,9,3,12,28,38,-10,24,43,0,13,2019,1,10,31,6,13,6,32,34,-2,25,61,3,Abd-Al-Ali Morakinyo Olaposi,Koiki,2
Abdoulaye_Doucouré_368,0,0,8,0,15.8,368,231,2,0,2.2,6.2,2020-01-21T19:30:00Z,90,2,0,0,0,0,24,0,190259,1,2,0.0,1,42623,56055,13432,56,False,1,18.0,23,5,8,11,21,36,-15,24,52,3,19,2019,8,9,33,9,6,10,31,37,-6,25,44,3,Abdoulaye,Doucouré,3
Adama_Traoré_417,1,0,30,0,40.3,417,237,2,0,9.0,27.6,2020-01-23T20:00:00Z,90,10,0,0,0,0,24,0,1277984,2,1,22.0,5,78968,151804,72836,57,True,0,20.0,34,8,10,6,35,32,3,24,34,2,7,2019,12,7,35,9,8,8,36,29,7,25,47,0,Adama,Traoré,3
