code,draw,form,id,loss,name,played,points,position,pulse_id,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,team_division,unavailable,win,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,6,11,4,1,ARS,4,1170,1170,1200,1150,1240,1180,,False,0,3,2,1,11,10,1,17,1
7,0,,2,0,Aston Villa,6,4,18,2,AVL,2,980,970,1040,1000,1050,1020,,False,0,1,1,4,6,9,-3,9,1
91,0,,3,0,Bournemouth,6,10,6,127,BOU,2,1030,990,1050,1000,1020,1020,,False,0,3,1,2,11,10,1,11,0
36,0,,4,0,Brighton,6,6,15,131,BHA,2,1100,1100,1030,1040,1010,1050,,False,0,1,3,2,5,8,-3,4,1
90,0,,5,0,Burnley,6,8,9,43,BUR,3,1070,1130,1110,970,1180,1110,,False,0,2,2,2,8,7,1,5,0
8,0,,6,0,Chelsea,6,8,11,4,CHE,4,1240,1240,1250,1220,1230,1220,,False,0,2,2,2,12,13,-1,11,0
31,0,,7,0,Crystal Palace,6,8,12,6,CRY,3,1180,1080,1040,1040,1120,1130,,False,0,2,2,2,4,7,-3,14,0
11,0,,8,0,Everton,6,7,14,7,EVE,3,1210,1100,1180,1170,1240,1100,,False,0,2,1,3,5,9,-4,12,1
13,0,,9,0,Leicester,6,11,3,26,LEI,3,1080,1150,1100,1210,1160,1210,,False,0,3,2,1,8,5,3,6,0
14,0,,10,0,Liverpool,6,18,1,10,LIV,5,1320,1310,1330,1310,1350,1340,,False,0,6,0,0,17,5,12,5,0
43,0,,11,0,Man City,6,13,2,11,MCI,5,1270,1260,1320,1320,1340,1330,,False,0,4,1,1,24,6,18,10,0
1,0,,12,0,Man Utd,6,8,8,12,MUN,4,1330,1260,1260,1180,1300,1220,,False,0,2,2,2,8,6,2,12,0
4,0,,13,0,Newcastle,6,5,17,23,NEW,3,1040,1030,990,980,1100,1090,,False,0,1,2,3,4,8,-4,13,0
45,0,,14,0,Norwich,6,6,16,14,NOR,2,1040,1030,990,990,1020,980,,False,0,2,0,4,9,14,-5,9,0
49,0,,15,0,Sheffield Utd,6,8,10,18,SHU,3,1180,1170,1110,1050,1200,1180,,False,0,2,2,2,7,6,1,10,1
20,0,,16,0,Southampton,6,7,13,20,SOU,3,1050,1080,1080,1110,1040,1150,,False,0,2,1,3,6,9,-3,8,1
6,0,,17,0,Spurs,6,8,7,21,TOT,4,1130,1100,1140,1200,1240,1180,,False,0,2,2,2,12,8,4,11,0
57,0,,18,0,Watford,6,2,20,33,WAT,3,1120,1120,1150,1020,1140,1030,,False,0,0,2,4,4,18,-14,12,0
21,0,,19,0,West Ham,6,11,5,25,WHU,2,1030,1000,1150,1030,1030,1040,,False,0,3,2,1,8,7,1,10,1
39,0,,20,0,Wolves,6,4,19,38,WOL,4,1230,1180,1200,1200,1190,1230,,False,0,0,4,2,7,11,-4,8,2
