assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,name_first,name_last,name,season,element_type,team,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position,next_fixture_team,next_fixture_position,next_fixture_points,next_fixture_wins,next_fixture_draws,next_fixture_losses,next_fixture_goals_for,next_fixture_goals_against,next_fixture_goals_diff,next_fixture_played,next_fixture_yc,next_fixture_rc
0,0,0,0,0.0,1,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,8,0,0,0,0,1,0,76656,3,0,0.0,0,0,0,0,70,False,0,Mesut,Özil,Mesut_Özil,2020,3,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
0,0,0,0,0.0,2,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,8,0,0,0,0,1,0,12184,3,0,0.0,0,0,0,0,50,False,0,Sokratis,Papastathopoulos,Sokratis_Papastathopoulos,2020,2,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
0,0,0,0,0.0,3,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,8,0,0,0,0,1,0,69564,3,0,0.0,0,0,0,0,55,False,0,David,Luiz Moreira Marinho,David_Luiz Moreira Marinho,2020,2,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
0,0,19,1,15.3,4,2,0,1,10.6,36.6,2020-09-12T11:30:00Z,90,8,0,0,0,0,1,0,2823465,3,0,54.0,7,0,0,0,120,False,1,Pierre-Emerick,Aubameyang,Pierre-Emerick_Aubameyang,2020,3,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
0,0,0,0,0.0,5,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,8,0,0,0,0,1,0,35774,3,0,0.0,0,0,0,0,50,False,0,Cédric,Soares,Cédric_Soares,2020,2,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
0,1,29,1,12.7,6,2,0,1,9.9,38.6,2020-09-12T11:30:00Z,86,8,0,0,0,0,1,0,196064,3,0,48.0,7,0,0,0,85,False,0,Alexandre,Lacazette,Alexandre_Lacazette,2020,4,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
0,0,0,0,0.0,7,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,8,0,0,0,0,1,0,899,3,0,0.0,0,0,0,0,50,False,0,Shkodran,Mustafi,Shkodran_Mustafi,2020,2,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
0,1,29,1,0.0,8,2,0,0,1.4,14.0,2020-09-12T11:30:00Z,90,8,0,0,0,0,1,2,400285,3,0,0.0,7,0,0,0,50,False,0,Bernd,Leno,Bernd_Leno,2020,1,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
0,0,11,1,17.2,9,2,0,0,4.5,6.8,2020-09-12T11:30:00Z,77,8,0,0,0,0,1,0,42909,3,0,21.0,3,0,0,0,55,False,0,Granit,Xhaka,Granit_Xhaka,2020,3,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
0,0,0,0,0.0,10,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,8,0,0,0,0,1,0,769,3,0,0.0,0,0,0,0,45,False,0,Pablo,Marí,Pablo_Marí,2020,2,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
0,0,23,1,26.4,11,2,0,0,4.0,9.8,2020-09-12T11:30:00Z,90,8,0,0,0,0,1,0,240975,3,0,4.0,5,0,0,0,50,False,1,Héctor,Bellerín,Héctor_Bellerín,2020,2,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
0,0,0,0,0.0,13,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,8,0,0,0,0,1,0,1043,3,0,0.0,0,0,0,0,45,False,0,Calum,Chambers,Calum_Chambers,2020,2,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
0,0,0,0,0.0,14,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,8,0,0,0,0,1,0,17088,3,0,0.0,0,0,0,0,50,False,0,Sead,Kolasinac,Sead_Kolasinac,2020,2,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
0,0,21,1,2.8,15,2,0,0,1.7,10.2,2020-09-12T11:30:00Z,90,8,0,0,0,0,1,0,112927,3,0,4.0,6,0,0,0,50,False,0,Ainsley,Maitland-Niles,Ainsley_Maitland-Niles,2020,2,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
0,0,28,1,1.2,16,2,0,0,2.2,20.6,2020-09-12T11:30:00Z,90,8,0,0,0,0,1,0,71148,3,0,0.0,6,0,0,0,45,False,0,Rob,Holding,Rob_Holding,2020,2,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
0,0,25,1,2.5,17,2,0,0,1.7,12.8,2020-09-12T11:30:00Z,90,8,0,0,0,0,1,0,686005,3,0,2.0,6,0,0,0,55,False,0,Kieran,Tierney,Kieran_Tierney,2020,2,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
0,0,3,0,15.3,18,2,0,0,2.3,2.0,2020-09-12T11:30:00Z,15,8,0,0,0,0,1,0,132947,3,0,6.0,1,0,0,0,80,False,0,Nicolas,Pépé,Nicolas_Pépé,2020,3,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
