code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,7,12,9,ARS,4,,False,0,1190,1210,1170,1210,1190,1200,1,4,0,3,9,7,2,12,0
7,0,,2,0,Aston Villa,6,12,8,AVL,3,,False,0,1150,1160,1150,1150,1180,1210,2,4,0,2,15,9,6,14,0
36,0,,3,0,Brighton,7,5,16,BHA,3,,False,0,1080,1100,1150,1180,1090,1100,131,1,2,4,11,14,-3,10,2
90,0,,4,0,Burnley,6,1,20,BUR,2,,False,0,1050,1080,1120,1190,1010,1030,43,0,1,5,3,12,-9,11,0
8,0,,5,0,Chelsea,7,12,7,CHE,4,,False,0,1260,1280,1240,1280,1270,1310,4,3,3,1,16,9,7,7,1
31,0,,6,0,Crystal Palace,7,10,13,CRY,3,,False,0,1110,1150,1100,1150,1020,1050,6,3,1,3,8,11,-3,12,1
11,0,,7,0,Everton,7,13,4,EVE,3,,False,0,1180,1210,1150,1170,1210,1250,7,4,1,2,15,11,4,11,2
54,0,,8,0,Fulham,7,4,17,FUL,2,,False,0,1000,1020,1020,1030,1020,1020,34,1,1,5,7,14,-7,16,1
13,0,,9,0,Leicester,7,15,2,LEI,4,,False,0,1220,1240,1190,1190,1200,1180,26,5,0,2,17,9,8,17,0
2,0,,10,0,Leeds,7,10,12,LEE,3,,False,0,1100,1130,1060,1110,1130,1160,9,3,1,3,13,13,0,9,0
14,0,,11,0,Liverpool,7,16,1,LIV,5,,False,0,1320,1360,1240,1320,1330,1350,10,5,1,1,17,15,2,6,0
43,0,,12,0,Man City,6,11,10,MCI,5,,False,0,1310,1360,1260,1320,1330,1350,11,3,2,1,9,8,1,9,0
1,0,,13,0,Man Utd,6,7,15,MUN,4,,False,0,1230,1230,1220,1230,1250,1260,12,2,1,3,9,13,-4,13,1
4,0,,14,0,Newcastle,7,11,11,NEW,3,,False,0,1100,1130,1100,1120,1010,1060,23,3,2,2,10,11,-1,15,0
49,0,,15,0,Sheffield Utd,7,1,19,SHU,3,,False,0,1070,1100,1110,1130,1010,1050,18,0,1,6,3,10,-7,9,1
20,0,,16,0,Southampton,7,13,5,SOU,3,,False,0,1150,1180,1140,1200,1110,1160,20,4,1,2,14,12,2,11,0
6,0,,17,0,Spurs,7,14,3,TOT,4,,False,0,1270,1280,1190,1240,1280,1320,21,4,2,1,18,9,9,8,0
35,0,,18,0,West Brom,7,3,18,WBA,2,,False,0,1010,1030,1020,1020,1000,1010,36,0,3,4,6,16,-10,7,1
21,0,,19,0,West Ham,7,8,14,WHU,3,,False,0,1140,1170,1150,1160,1170,1180,25,2,2,3,13,10,3,13,0
39,0,,20,0,Wolves,7,13,6,WOL,3,,False,0,1160,1190,1180,1220,1100,1170,38,4,1,2,8,8,0,4,0
